phrase,code
switch blinkstick in room 4.443 color to white .,"blinkstick(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
switch color of blinkstick in room 4.443 to white .,"blinkstick(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
set blinkstick in room 4.443 color to white .,"blinkstick(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
set color of blinkstick in room 4.443 to white .,"blinkstick(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
update blinkstick in room 4.443 color to white .,"blinkstick(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
adjust color of blinkstick in room 4.443 to white .,"blinkstick(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
modify blinkstick in room 4.443 color to white .,"blinkstick(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255})"
convert color of blinkstick in room 4.443 to white .,"blinkstick(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
change blinkstick in room 4.443 color to white .,"blinkstick(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
make color of blinkstick in room 4.443 to white .,"blinkstick(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
I want white color on blinkstick in room 4.443 .,"blinkstick(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
I want blinkstick in room 4.443 color be white .,"blinkstick(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
switch blinkstick in room 4.443 color to silver .,"blinkstick(light, 4.443, None).writeProperty('color', {red:192, green:192, blue:192});"
switch color of blinkstick in room 4.443 to silver .,"blinkstick(light, 4.443, None).writeProperty('color', {red:192, green:192, blue:192});"
set blinkstick in room 4.443 color to silver .,"blinkstick(light, 4.443, None).writeProperty('color', {red:192, green:192, blue:192});"
set color of blinkstick in room 4.443 to silver .,"blinkstick(light, 4.443, None).writeProperty('color', {red:192, green:192, blue:192});"
update blinkstick in room 4.443 color to silver .,"blinkstick(light, 4.443, None).writeProperty('color', {red:192, green:192, blue:192});"
adjust color of blinkstick in room 4.443 to silver .,"blinkstick(light, 4.443, None).writeProperty('color', {red:192, green:192, blue:192});"
modify blinkstick in room 4.443 color to silver .,"blinkstick(light, 4.443, None).writeProperty('color', {red:192, green:192, blue:192})"
convert color of blinkstick in room 4.443 to silver .,"blinkstick(light, 4.443, None).writeProperty('color', {red:192, green:192, blue:192});"
change blinkstick in room 4.443 color to silver .,"blinkstick(light, 4.443, None).writeProperty('color', {red:192, green:192, blue:192});"
make color of blinkstick in room 4.443 to silver .,"blinkstick(light, 4.443, None).writeProperty('color', {red:192, green:192, blue:192});"
I want silver color on blinkstick in room 4.443 .,"blinkstick(light, 4.443, None).writeProperty('color', {red:192, green:192, blue:192});"
I want blinkstick in room 4.443 color be silver .,"blinkstick(light, 4.443, None).writeProperty('color', {red:192, green:192, blue:192});"
switch blinkstick in room 4.443 color to gray .,"blinkstick(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:128});"
switch color of blinkstick in room 4.443 to gray .,"blinkstick(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:128});"
set blinkstick in room 4.443 color to gray .,"blinkstick(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:128});"
set color of blinkstick in room 4.443 to gray .,"blinkstick(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:128});"
update blinkstick in room 4.443 color to gray .,"blinkstick(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:128});"
adjust color of blinkstick in room 4.443 to gray .,"blinkstick(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:128});"
modify blinkstick in room 4.443 color to gray .,"blinkstick(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:128})"
convert color of blinkstick in room 4.443 to gray .,"blinkstick(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:128});"
change blinkstick in room 4.443 color to gray .,"blinkstick(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:128});"
make color of blinkstick in room 4.443 to gray .,"blinkstick(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:128});"
I want gray color on blinkstick in room 4.443 .,"blinkstick(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:128});"
I want blinkstick in room 4.443 color be gray .,"blinkstick(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:128});"
switch blinkstick in room 4.443 color to black .,"blinkstick(light, 4.443, None).writeProperty('color', {red:0, green:0, blue:0});"
switch color of blinkstick in room 4.443 to black .,"blinkstick(light, 4.443, None).writeProperty('color', {red:0, green:0, blue:0});"
set blinkstick in room 4.443 color to black .,"blinkstick(light, 4.443, None).writeProperty('color', {red:0, green:0, blue:0});"
set color of blinkstick in room 4.443 to black .,"blinkstick(light, 4.443, None).writeProperty('color', {red:0, green:0, blue:0});"
update blinkstick in room 4.443 color to black .,"blinkstick(light, 4.443, None).writeProperty('color', {red:0, green:0, blue:0});"
adjust color of blinkstick in room 4.443 to black .,"blinkstick(light, 4.443, None).writeProperty('color', {red:0, green:0, blue:0});"
modify blinkstick in room 4.443 color to black .,"blinkstick(light, 4.443, None).writeProperty('color', {red:0, green:0, blue:0})"
convert color of blinkstick in room 4.443 to black .,"blinkstick(light, 4.443, None).writeProperty('color', {red:0, green:0, blue:0});"
change blinkstick in room 4.443 color to black .,"blinkstick(light, 4.443, None).writeProperty('color', {red:0, green:0, blue:0});"
make color of blinkstick in room 4.443 to black .,"blinkstick(light, 4.443, None).writeProperty('color', {red:0, green:0, blue:0});"
I want black color on blinkstick in room 4.443 .,"blinkstick(light, 4.443, None).writeProperty('color', {red:0, green:0, blue:0});"
I want blinkstick in room 4.443 color be black .,"blinkstick(light, 4.443, None).writeProperty('color', {red:0, green:0, blue:0});"
switch blinkstick in room 4.443 color to red .,"blinkstick(light, 4.443, None).writeProperty('color', {red:255, green:0, blue:0});"
switch color of blinkstick in room 4.443 to red .,"blinkstick(light, 4.443, None).writeProperty('color', {red:255, green:0, blue:0});"
set blinkstick in room 4.443 color to red .,"blinkstick(light, 4.443, None).writeProperty('color', {red:255, green:0, blue:0});"
set color of blinkstick in room 4.443 to red .,"blinkstick(light, 4.443, None).writeProperty('color', {red:255, green:0, blue:0});"
update blinkstick in room 4.443 color to red .,"blinkstick(light, 4.443, None).writeProperty('color', {red:255, green:0, blue:0});"
adjust color of blinkstick in room 4.443 to red .,"blinkstick(light, 4.443, None).writeProperty('color', {red:255, green:0, blue:0});"
modify blinkstick in room 4.443 color to red .,"blinkstick(light, 4.443, None).writeProperty('color', {red:255, green:0, blue:0})"
convert color of blinkstick in room 4.443 to red .,"blinkstick(light, 4.443, None).writeProperty('color', {red:255, green:0, blue:0});"
change blinkstick in room 4.443 color to red .,"blinkstick(light, 4.443, None).writeProperty('color', {red:255, green:0, blue:0});"
make color of blinkstick in room 4.443 to red .,"blinkstick(light, 4.443, None).writeProperty('color', {red:255, green:0, blue:0});"
I want red color on blinkstick in room 4.443 .,"blinkstick(light, 4.443, None).writeProperty('color', {red:255, green:0, blue:0});"
I want blinkstick in room 4.443 color be red .,"blinkstick(light, 4.443, None).writeProperty('color', {red:255, green:0, blue:0});"
switch blinkstick in room 4.443 color to maroon .,"blinkstick(light, 4.443, None).writeProperty('color', {red:128, green:0, blue:0});"
switch color of blinkstick in room 4.443 to maroon .,"blinkstick(light, 4.443, None).writeProperty('color', {red:128, green:0, blue:0});"
set blinkstick in room 4.443 color to maroon .,"blinkstick(light, 4.443, None).writeProperty('color', {red:128, green:0, blue:0});"
set color of blinkstick in room 4.443 to maroon .,"blinkstick(light, 4.443, None).writeProperty('color', {red:128, green:0, blue:0});"
update blinkstick in room 4.443 color to maroon .,"blinkstick(light, 4.443, None).writeProperty('color', {red:128, green:0, blue:0});"
adjust color of blinkstick in room 4.443 to maroon .,"blinkstick(light, 4.443, None).writeProperty('color', {red:128, green:0, blue:0});"
modify blinkstick in room 4.443 color to maroon .,"blinkstick(light, 4.443, None).writeProperty('color', {red:128, green:0, blue:0})"
convert color of blinkstick in room 4.443 to maroon .,"blinkstick(light, 4.443, None).writeProperty('color', {red:128, green:0, blue:0});"
change blinkstick in room 4.443 color to maroon .,"blinkstick(light, 4.443, None).writeProperty('color', {red:128, green:0, blue:0});"
make color of blinkstick in room 4.443 to maroon .,"blinkstick(light, 4.443, None).writeProperty('color', {red:128, green:0, blue:0});"
I want maroon color on blinkstick in room 4.443 .,"blinkstick(light, 4.443, None).writeProperty('color', {red:128, green:0, blue:0});"
I want blinkstick in room 4.443 color be maroon .,"blinkstick(light, 4.443, None).writeProperty('color', {red:128, green:0, blue:0});"
switch blinkstick in room 4.443 color to yellow .,"blinkstick(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:0});"
switch color of blinkstick in room 4.443 to yellow .,"blinkstick(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:0});"
set blinkstick in room 4.443 color to yellow .,"blinkstick(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:0});"
set color of blinkstick in room 4.443 to yellow .,"blinkstick(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:0});"
update blinkstick in room 4.443 color to yellow .,"blinkstick(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:0});"
adjust color of blinkstick in room 4.443 to yellow .,"blinkstick(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:0});"
modify blinkstick in room 4.443 color to yellow .,"blinkstick(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:0})"
convert color of blinkstick in room 4.443 to yellow .,"blinkstick(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:0});"
change blinkstick in room 4.443 color to yellow .,"blinkstick(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:0});"
make color of blinkstick in room 4.443 to yellow .,"blinkstick(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:0});"
I want yellow color on blinkstick in room 4.443 .,"blinkstick(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:0});"
I want blinkstick in room 4.443 color be yellow .,"blinkstick(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:0});"
switch blinkstick in room 4.443 color to olive .,"blinkstick(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:0});"
switch color of blinkstick in room 4.443 to olive .,"blinkstick(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:0});"
set blinkstick in room 4.443 color to olive .,"blinkstick(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:0});"
set color of blinkstick in room 4.443 to olive .,"blinkstick(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:0});"
update blinkstick in room 4.443 color to olive .,"blinkstick(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:0});"
adjust color of blinkstick in room 4.443 to olive .,"blinkstick(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:0});"
modify blinkstick in room 4.443 color to olive .,"blinkstick(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:0})"
