phrase,code
switch on govee lamp lamp in room 4.443 .,"goveelamp(light, 4.443, None).writeProperty('power', 1);"
switch govee lamp lamp in room 4.443 to on state .,"goveelamp(light, 4.443, None).writeProperty('power', 1);"
switch on power of govee lamp lamp in room 4.443 .,"goveelamp(light, 4.443, None).writeProperty('power', 1);"
turn on govee lamp lamp in room 4.443 .,"goveelamp(light, 4.443, None).writeProperty('power', 1);"
turn on power of govee lamp lamp in room 4.443 .,"goveelamp(light, 4.443, None).writeProperty('power', 1);"
turn power on of govee lamp lamp in room 4.443 .,"goveelamp(light, 4.443, None).writeProperty('power', 1);"
set power on govee lamp lamp in room 4.443 .,"goveelamp(light, 4.443, None).writeProperty('power', 1);"
govee lamp lamp in room 4.443 power on .,"goveelamp(light, 4.443, None).writeProperty('power', 1);"
activate govee lamp lamp in room 4.443 .,"goveelamp(light, 4.443, None).writeProperty('power', on);"
deactivate govee lamp lamp in room 4.443 .,"goveelamp(light, 4.443, None).writeProperty('power', off);"
power up govee lamp lamp in room 4.443 .,"goveelamp(light, 4.443, None).writeProperty('power', on);"
power down govee lamp lamp in room 4.443 .,"goveelamp(light, 4.443, None).writeProperty('power', off);"
switch off govee lamp lamp in room 4.443 .,"goveelamp(light, 4.443, None).writeProperty('power', 0);"
switch govee lamp lamp in room 4.443 to off state .,"goveelamp(light, 4.443, None).writeProperty('power', 0);"
switch off power of govee lamp lamp in room 4.443 .,"goveelamp(light, 4.443, None).writeProperty('power', 0);"
turn off govee lamp lamp in room 4.443 .,"goveelamp(light, 4.443, None).writeProperty('power', 0);"
turn off power of govee lamp lamp in room 4.443 .,"goveelamp(light, 4.443, None).writeProperty('power', 0);"
turn power off of govee lamp lamp in room 4.443 .,"goveelamp(light, 4.443, None).writeProperty('power', 0);"
set power off govee lamp lamp in room 4.443 .,"goveelamp(light, 4.443, None).writeProperty('power', 0);"
govee lamp lamp in room 4.443 power off .,"goveelamp(light, 4.443, None).writeProperty('power', 0);"
activate govee lamp lamp in room 4.443 .,"goveelamp(light, 4.443, None).writeProperty('power', on);"
deactivate govee lamp lamp in room 4.443 .,"goveelamp(light, 4.443, None).writeProperty('power', off);"
power up govee lamp lamp in room 4.443 .,"goveelamp(light, 4.443, None).writeProperty('power', on);"
power down govee lamp lamp in room 4.443 .,"goveelamp(light, 4.443, None).writeProperty('power', off);"
switch on govee lamp lamp in IoT lab .,"goveelamp(light, IoT_lab, None).writeProperty('power', 1);"
switch govee lamp lamp in IoT lab to on state .,"goveelamp(light, IoT_lab, None).writeProperty('power', 1);"
switch on power of govee lamp lamp in IoT lab .,"goveelamp(light, IoT_lab, None).writeProperty('power', 1);"
turn on govee lamp lamp in IoT lab .,"goveelamp(light, IoT_lab, None).writeProperty('power', 1);"
turn on power of govee lamp lamp in IoT lab .,"goveelamp(light, IoT_lab, None).writeProperty('power', 1);"
turn power on of govee lamp lamp in IoT lab .,"goveelamp(light, IoT_lab, None).writeProperty('power', 1);"
set power on govee lamp lamp in IoT lab .,"goveelamp(light, IoT_lab, None).writeProperty('power', 1);"
govee lamp lamp in IoT lab power on .,"goveelamp(light, IoT_lab, None).writeProperty('power', 1);"
activate govee lamp lamp in IoT lab .,"goveelamp(light, IoT_lab, None).writeProperty('power', on);"
deactivate govee lamp lamp in IoT lab .,"goveelamp(light, IoT_lab, None).writeProperty('power', off);"
power up govee lamp lamp in IoT lab .,"goveelamp(light, IoT_lab, None).writeProperty('power', on);"
power down govee lamp lamp in IoT lab .,"goveelamp(light, IoT_lab, None).writeProperty('power', off);"
switch off govee lamp lamp in IoT lab .,"goveelamp(light, IoT_lab, None).writeProperty('power', 0);"
switch govee lamp lamp in IoT lab to off state .,"goveelamp(light, IoT_lab, None).writeProperty('power', 0);"
switch off power of govee lamp lamp in IoT lab .,"goveelamp(light, IoT_lab, None).writeProperty('power', 0);"
turn off govee lamp lamp in IoT lab .,"goveelamp(light, IoT_lab, None).writeProperty('power', 0);"
turn off power of govee lamp lamp in IoT lab .,"goveelamp(light, IoT_lab, None).writeProperty('power', 0);"
turn power off of govee lamp lamp in IoT lab .,"goveelamp(light, IoT_lab, None).writeProperty('power', 0);"
set power off govee lamp lamp in IoT lab .,"goveelamp(light, IoT_lab, None).writeProperty('power', 0);"
govee lamp lamp in IoT lab power off .,"goveelamp(light, IoT_lab, None).writeProperty('power', 0);"
activate govee lamp lamp in IoT lab .,"goveelamp(light, IoT_lab, None).writeProperty('power', on);"
deactivate govee lamp lamp in IoT lab .,"goveelamp(light, IoT_lab, None).writeProperty('power', off);"
power up govee lamp lamp in IoT lab .,"goveelamp(light, IoT_lab, None).writeProperty('power', on);"
power down govee lamp lamp in IoT lab .,"goveelamp(light, IoT_lab, None).writeProperty('power', off);"
switch on hue lamp in the kitchen .,"goveelamp(light, kitchen, None).writeProperty('power', 1);"
switch hue lamp in the kitchen to on state .,"goveelamp(light, kitchen, None).writeProperty('power', 1);"
switch on power of hue lamp in the kitchen .,"goveelamp(light, kitchen, None).writeProperty('power', 1);"
turn on hue lamp in the kitchen .,"goveelamp(light, kitchen, None).writeProperty('power', 1);"
turn on power of hue lamp in the kitchen .,"goveelamp(light, kitchen, None).writeProperty('power', 1);"
turn power on of hue lamp in the kitchen .,"goveelamp(light, kitchen, None).writeProperty('power', 1);"
set power on hue lamp in the kitchen .,"goveelamp(light, kitchen, None).writeProperty('power', 1);"
hue lamp in the kitchen power on .,"goveelamp(light, kitchen, None).writeProperty('power', 1);"
activate hue lamp in the kitchen .,"goveelamp(light, kitchen, None).writeProperty('power', on);"
deactivate hue lamp in the kitchen .,"goveelamp(light, kitchen, None).writeProperty('power', off);"
power up hue lamp in the kitchen .,"goveelamp(light, kitchen, None).writeProperty('power', on);"
power down hue lamp in the kitchen .,"goveelamp(light, kitchen, None).writeProperty('power', off);"
switch off hue lamp in the kitchen .,"goveelamp(light, kitchen, None).writeProperty('power', 0);"
switch hue lamp in the kitchen to off state .,"goveelamp(light, kitchen, None).writeProperty('power', 0);"
