phrase,code
switch on Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('power', 1);"
switch Philips hue lamp in room 4.443 to on state .,"philipshue(light, 4.443, None).writeProperty('power', 1);"
switch on power of Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('power', 1);"
turn on Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('power', 1);"
turn on power of Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('power', 1);"
turn power on of Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('power', 1);"
set power on Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('power', 1);"
Philips hue lamp in room 4.443 power on .,"philipshue(light, 4.443, None).writeProperty('power', 1);"
activate Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('power', on);"
deactivate Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('power', off);"
power up Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('power', on);"
power down Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('power', off);"
switch off Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('power', 0);"
switch Philips hue lamp in room 4.443 to off state .,"philipshue(light, 4.443, None).writeProperty('power', 0);"
switch off power of Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('power', 0);"
turn off Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('power', 0);"
turn off power of Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('power', 0);"
turn power off of Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('power', 0);"
set power off Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('power', 0);"
Philips hue lamp in room 4.443 power off .,"philipshue(light, 4.443, None).writeProperty('power', 0);"
activate Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('power', on);"
deactivate Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('power', off);"
power up Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('power', on);"
power down Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('power', off);"
switch on Philips hue lamp in IoT lab .,"philipshue(light, IoT_lab, None).writeProperty('power', 1);"
switch Philips hue lamp in IoT lab to on state .,"philipshue(light, IoT_lab, None).writeProperty('power', 1);"
switch on power of Philips hue lamp in IoT lab .,"philipshue(light, IoT_lab, None).writeProperty('power', 1);"
turn on Philips hue lamp in IoT lab .,"philipshue(light, IoT_lab, None).writeProperty('power', 1);"
turn on power of Philips hue lamp in IoT lab .,"philipshue(light, IoT_lab, None).writeProperty('power', 1);"
turn power on of Philips hue lamp in IoT lab .,"philipshue(light, IoT_lab, None).writeProperty('power', 1);"
set power on Philips hue lamp in IoT lab .,"philipshue(light, IoT_lab, None).writeProperty('power', 1);"
Philips hue lamp in IoT lab power on .,"philipshue(light, IoT_lab, None).writeProperty('power', 1);"
activate Philips hue lamp in IoT lab .,"philipshue(light, IoT_lab, None).writeProperty('power', on);"
deactivate Philips hue lamp in IoT lab .,"philipshue(light, IoT_lab, None).writeProperty('power', off);"
