phrase,code
switch led strip in room 4.443 color to white .,"ledstrip(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
switch color of led strip in room 4.443 to white .,"ledstrip(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
set led strip in room 4.443 color to white .,"ledstrip(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
set color of led strip in room 4.443 to white .,"ledstrip(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
update led strip in room 4.443 color to white .,"ledstrip(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
adjust color of led strip in room 4.443 to white .,"ledstrip(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
modify led strip in room 4.443 color to white .,"ledstrip(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255})"
convert color of led strip in room 4.443 to white .,"ledstrip(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
change led strip in room 4.443 color to white .,"ledstrip(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
make color of led strip in room 4.443 to white .,"ledstrip(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
I want white color on led strip in room 4.443 .,"ledstrip(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
I want led strip in room 4.443 color be white .,"ledstrip(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
switch led strip in room 4.443 color to silver .,"ledstrip(light, 4.443, None).writeProperty('color', {red:192, green:192, blue:192});"
switch color of led strip in room 4.443 to silver .,"ledstrip(light, 4.443, None).writeProperty('color', {red:192, green:192, blue:192});"
set led strip in room 4.443 color to silver .,"ledstrip(light, 4.443, None).writeProperty('color', {red:192, green:192, blue:192});"
set color of led strip in room 4.443 to silver .,"ledstrip(light, 4.443, None).writeProperty('color', {red:192, green:192, blue:192});"
update led strip in room 4.443 color to silver .,"ledstrip(light, 4.443, None).writeProperty('color', {red:192, green:192, blue:192});"
adjust color of led strip in room 4.443 to silver .,"ledstrip(light, 4.443, None).writeProperty('color', {red:192, green:192, blue:192});"
modify led strip in room 4.443 color to silver .,"ledstrip(light, 4.443, None).writeProperty('color', {red:192, green:192, blue:192})"
convert color of led strip in room 4.443 to silver .,"ledstrip(light, 4.443, None).writeProperty('color', {red:192, green:192, blue:192});"
change led strip in room 4.443 color to silver .,"ledstrip(light, 4.443, None).writeProperty('color', {red:192, green:192, blue:192});"
make color of led strip in room 4.443 to silver .,"ledstrip(light, 4.443, None).writeProperty('color', {red:192, green:192, blue:192});"
I want silver color on led strip in room 4.443 .,"ledstrip(light, 4.443, None).writeProperty('color', {red:192, green:192, blue:192});"
I want led strip in room 4.443 color be silver .,"ledstrip(light, 4.443, None).writeProperty('color', {red:192, green:192, blue:192});"
switch led strip in room 4.443 color to gray .,"ledstrip(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:128});"
switch color of led strip in room 4.443 to gray .,"ledstrip(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:128});"
set led strip in room 4.443 color to gray .,"ledstrip(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:128});"
set color of led strip in room 4.443 to gray .,"ledstrip(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:128});"
update led strip in room 4.443 color to gray .,"ledstrip(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:128});"
adjust color of led strip in room 4.443 to gray .,"ledstrip(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:128});"
modify led strip in room 4.443 color to gray .,"ledstrip(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:128})"
convert color of led strip in room 4.443 to gray .,"ledstrip(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:128});"
change led strip in room 4.443 color to gray .,"ledstrip(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:128});"
make color of led strip in room 4.443 to gray .,"ledstrip(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:128});"
I want gray color on led strip in room 4.443 .,"ledstrip(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:128});"
I want led strip in room 4.443 color be gray .,"ledstrip(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:128});"
switch led strip in room 4.443 color to black .,"ledstrip(light, 4.443, None).writeProperty('color', {red:0, green:0, blue:0});"
switch color of led strip in room 4.443 to black .,"ledstrip(light, 4.443, None).writeProperty('color', {red:0, green:0, blue:0});"
set led strip in room 4.443 color to black .,"ledstrip(light, 4.443, None).writeProperty('color', {red:0, green:0, blue:0});"
set color of led strip in room 4.443 to black .,"ledstrip(light, 4.443, None).writeProperty('color', {red:0, green:0, blue:0});"
update led strip in room 4.443 color to black .,"ledstrip(light, 4.443, None).writeProperty('color', {red:0, green:0, blue:0});"
adjust color of led strip in room 4.443 to black .,"ledstrip(light, 4.443, None).writeProperty('color', {red:0, green:0, blue:0});"
modify led strip in room 4.443 color to black .,"ledstrip(light, 4.443, None).writeProperty('color', {red:0, green:0, blue:0})"
convert color of led strip in room 4.443 to black .,"ledstrip(light, 4.443, None).writeProperty('color', {red:0, green:0, blue:0});"
change led strip in room 4.443 color to black .,"ledstrip(light, 4.443, None).writeProperty('color', {red:0, green:0, blue:0});"
make color of led strip in room 4.443 to black .,"ledstrip(light, 4.443, None).writeProperty('color', {red:0, green:0, blue:0});"
I want black color on led strip in room 4.443 .,"ledstrip(light, 4.443, None).writeProperty('color', {red:0, green:0, blue:0});"
I want led strip in room 4.443 color be black .,"ledstrip(light, 4.443, None).writeProperty('color', {red:0, green:0, blue:0});"
switch led strip in room 4.443 color to red .,"ledstrip(light, 4.443, None).writeProperty('color', {red:255, green:0, blue:0});"
switch color of led strip in room 4.443 to red .,"ledstrip(light, 4.443, None).writeProperty('color', {red:255, green:0, blue:0});"
set led strip in room 4.443 color to red .,"ledstrip(light, 4.443, None).writeProperty('color', {red:255, green:0, blue:0});"
set color of led strip in room 4.443 to red .,"ledstrip(light, 4.443, None).writeProperty('color', {red:255, green:0, blue:0});"
update led strip in room 4.443 color to red .,"ledstrip(light, 4.443, None).writeProperty('color', {red:255, green:0, blue:0});"
adjust color of led strip in room 4.443 to red .,"ledstrip(light, 4.443, None).writeProperty('color', {red:255, green:0, blue:0});"
modify led strip in room 4.443 color to red .,"ledstrip(light, 4.443, None).writeProperty('color', {red:255, green:0, blue:0})"
convert color of led strip in room 4.443 to red .,"ledstrip(light, 4.443, None).writeProperty('color', {red:255, green:0, blue:0});"
change led strip in room 4.443 color to red .,"ledstrip(light, 4.443, None).writeProperty('color', {red:255, green:0, blue:0});"
make color of led strip in room 4.443 to red .,"ledstrip(light, 4.443, None).writeProperty('color', {red:255, green:0, blue:0});"
I want red color on led strip in room 4.443 .,"ledstrip(light, 4.443, None).writeProperty('color', {red:255, green:0, blue:0});"
I want led strip in room 4.443 color be red .,"ledstrip(light, 4.443, None).writeProperty('color', {red:255, green:0, blue:0});"
switch led strip in room 4.443 color to maroon .,"ledstrip(light, 4.443, None).writeProperty('color', {red:128, green:0, blue:0});"
switch color of led strip in room 4.443 to maroon .,"ledstrip(light, 4.443, None).writeProperty('color', {red:128, green:0, blue:0});"
set led strip in room 4.443 color to maroon .,"ledstrip(light, 4.443, None).writeProperty('color', {red:128, green:0, blue:0});"
set color of led strip in room 4.443 to maroon .,"ledstrip(light, 4.443, None).writeProperty('color', {red:128, green:0, blue:0});"
update led strip in room 4.443 color to maroon .,"ledstrip(light, 4.443, None).writeProperty('color', {red:128, green:0, blue:0});"
adjust color of led strip in room 4.443 to maroon .,"ledstrip(light, 4.443, None).writeProperty('color', {red:128, green:0, blue:0});"
modify led strip in room 4.443 color to maroon .,"ledstrip(light, 4.443, None).writeProperty('color', {red:128, green:0, blue:0})"
convert color of led strip in room 4.443 to maroon .,"ledstrip(light, 4.443, None).writeProperty('color', {red:128, green:0, blue:0});"
change led strip in room 4.443 color to maroon .,"ledstrip(light, 4.443, None).writeProperty('color', {red:128, green:0, blue:0});"
make color of led strip in room 4.443 to maroon .,"ledstrip(light, 4.443, None).writeProperty('color', {red:128, green:0, blue:0});"
I want maroon color on led strip in room 4.443 .,"ledstrip(light, 4.443, None).writeProperty('color', {red:128, green:0, blue:0});"
I want led strip in room 4.443 color be maroon .,"ledstrip(light, 4.443, None).writeProperty('color', {red:128, green:0, blue:0});"
switch led strip in room 4.443 color to yellow .,"ledstrip(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:0});"
switch color of led strip in room 4.443 to yellow .,"ledstrip(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:0});"
set led strip in room 4.443 color to yellow .,"ledstrip(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:0});"
set color of led strip in room 4.443 to yellow .,"ledstrip(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:0});"
update led strip in room 4.443 color to yellow .,"ledstrip(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:0});"
adjust color of led strip in room 4.443 to yellow .,"ledstrip(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:0});"
modify led strip in room 4.443 color to yellow .,"ledstrip(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:0})"
convert color of led strip in room 4.443 to yellow .,"ledstrip(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:0});"
change led strip in room 4.443 color to yellow .,"ledstrip(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:0});"
make color of led strip in room 4.443 to yellow .,"ledstrip(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:0});"
I want yellow color on led strip in room 4.443 .,"ledstrip(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:0});"
I want led strip in room 4.443 color be yellow .,"ledstrip(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:0});"
switch led strip in room 4.443 color to olive .,"ledstrip(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:0});"
switch color of led strip in room 4.443 to olive .,"ledstrip(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:0});"
set led strip in room 4.443 color to olive .,"ledstrip(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:0});"
set color of led strip in room 4.443 to olive .,"ledstrip(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:0});"
update led strip in room 4.443 color to olive .,"ledstrip(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:0});"
adjust color of led strip in room 4.443 to olive .,"ledstrip(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:0});"
modify led strip in room 4.443 color to olive .,"ledstrip(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:0})"
convert color of led strip in room 4.443 to olive .,"ledstrip(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:0});"
change led strip in room 4.443 color to olive .,"ledstrip(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:0});"
make color of led strip in room 4.443 to olive .,"ledstrip(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:0});"
I want olive color on led strip in room 4.443 .,"ledstrip(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:0});"
I want led strip in room 4.443 color be olive .,"ledstrip(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:0});"
switch led strip in room 4.443 color to lime .,"ledstrip(light, 4.443, None).writeProperty('color', {red:0, green:255, blue:0});"
switch color of led strip in room 4.443 to lime .,"ledstrip(light, 4.443, None).writeProperty('color', {red:0, green:255, blue:0});"
set led strip in room 4.443 color to lime .,"ledstrip(light, 4.443, None).writeProperty('color', {red:0, green:255, blue:0});"
set color of led strip in room 4.443 to lime .,"ledstrip(light, 4.443, None).writeProperty('color', {red:0, green:255, blue:0});"
update led strip in room 4.443 color to lime .,"ledstrip(light, 4.443, None).writeProperty('color', {red:0, green:255, blue:0});"
adjust color of led strip in room 4.443 to lime .,"ledstrip(light, 4.443, None).writeProperty('color', {red:0, green:255, blue:0});"
modify led strip in room 4.443 color to lime .,"ledstrip(light, 4.443, None).writeProperty('color', {red:0, green:255, blue:0})"
convert color of led strip in room 4.443 to lime .,"ledstrip(light, 4.443, None).writeProperty('color', {red:0, green:255, blue:0});"
change led strip in room 4.443 color to lime .,"ledstrip(light, 4.443, None).writeProperty('color', {red:0, green:255, blue:0});"
make color of led strip in room 4.443 to lime .,"ledstrip(light, 4.443, None).writeProperty('color', {red:0, green:255, blue:0});"
