phrase,code
switch on Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('power', 1);"
switch Philips hue lamp in room 4.443 to on state .,"philipshue(light, 4.443, None).writeProperty('power', 1);"
switch on power of Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('power', 1);"
turn on Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('power', 1);"
turn on power of Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('power', 1);"
turn power on of Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('power', 1);"
set power on Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('power', 1);"
Philips hue lamp in room 4.443 power on .,"philipshue(light, 4.443, None).writeProperty('power', 1);"
activate Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('power', on);"
deactivate Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('power', off);"
power up Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('power', on);"
power down Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('power', off);"
switch off Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('power', 0);"
switch Philips hue lamp in room 4.443 to off state .,"philipshue(light, 4.443, None).writeProperty('power', 0);"
switch off power of Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('power', 0);"
turn off Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('power', 0);"
turn off power of Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('power', 0);"
turn power off of Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('power', 0);"
set power off Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('power', 0);"
Philips hue lamp in room 4.443 power off .,"philipshue(light, 4.443, None).writeProperty('power', 0);"
switch on Philips hue lamp in IoT lab .,"philipshue(light, IoT_lab, None).writeProperty('power', 1);"
switch Philips hue lamp in IoT lab to on state .,"philipshue(light, IoT_lab, None).writeProperty('power', 1);"
switch on power of Philips hue lamp in IoT lab .,"philipshue(light, IoT_lab, None).writeProperty('power', 1);"
turn on Philips hue lamp in IoT lab .,"philipshue(light, IoT_lab, None).writeProperty('power', 1);"
turn on power of Philips hue lamp in IoT lab .,"philipshue(light, IoT_lab, None).writeProperty('power', 1);"
turn power on of Philips hue lamp in IoT lab .,"philipshue(light, IoT_lab, None).writeProperty('power', 1);"
set power on Philips hue lamp in IoT lab .,"philipshue(light, IoT_lab, None).writeProperty('power', 1);"
Philips hue lamp in IoT lab power on .,"philipshue(light, IoT_lab, None).writeProperty('power', 1);"
activate Philips hue lamp in IoT lab .,"philipshue(light, IoT_lab, None).writeProperty('power', on);"
deactivate Philips hue lamp in IoT lab .,"philipshue(light, IoT_lab, None).writeProperty('power', off);"
power up Philips hue lamp in IoT lab .,"philipshue(light, IoT_lab, None).writeProperty('power', on);"
power down Philips hue lamp in IoT lab .,"philipshue(light, IoT_lab, None).writeProperty('power', off);"
switch off Philips hue lamp in IoT lab .,"philipshue(light, IoT_lab, None).writeProperty('power', 0);"
switch Philips hue lamp in IoT lab to off state .,"philipshue(light, IoT_lab, None).writeProperty('power', 0);"
switch off power of Philips hue lamp in IoT lab .,"philipshue(light, IoT_lab, None).writeProperty('power', 0);"
turn off Philips hue lamp in IoT lab .,"philipshue(light, IoT_lab, None).writeProperty('power', 0);"
turn off power of Philips hue lamp in IoT lab .,"philipshue(light, IoT_lab, None).writeProperty('power', 0);"
turn power off of Philips hue lamp in IoT lab .,"philipshue(light, IoT_lab, None).writeProperty('power', 0);"
set power off Philips hue lamp in IoT lab .,"philipshue(light, IoT_lab, None).writeProperty('power', 0);"
Philips hue lamp in IoT lab power off .,"philipshue(light, IoT_lab, None).writeProperty('power', 0);"
switch on hue lamp in the kitchen .,"philipshue(light, kitchen, None).writeProperty('power', 1);"
switch hue lamp in the kitchen to on state .,"philipshue(light, kitchen, None).writeProperty('power', 1);"
switch on power of hue lamp in the kitchen .,"philipshue(light, kitchen, None).writeProperty('power', 1);"
turn on hue lamp in the kitchen .,"philipshue(light, kitchen, None).writeProperty('power', 1);"
turn on power of hue lamp in the kitchen .,"philipshue(light, kitchen, None).writeProperty('power', 1);"
turn power on of hue lamp in the kitchen .,"philipshue(light, kitchen, None).writeProperty('power', 1);"
set power on hue lamp in the kitchen .,"philipshue(light, kitchen, None).writeProperty('power', 1);"
hue lamp in the kitchen power on .,"philipshue(light, kitchen, None).writeProperty('power', 1);"
activate hue lamp in the kitchen .,"philipshue(light, kitchen, None).writeProperty('power', on);"
deactivate hue lamp in the kitchen .,"philipshue(light, kitchen, None).writeProperty('power', off);"
power up hue lamp in the kitchen .,"philipshue(light, kitchen, None).writeProperty('power', on);"
power down hue lamp in the kitchen .,"philipshue(light, kitchen, None).writeProperty('power', off);"
switch off hue lamp in the kitchen .,"philipshue(light, kitchen, None).writeProperty('power', 0);"
switch hue lamp in the kitchen to off state .,"philipshue(light, kitchen, None).writeProperty('power', 0);"
switch off power of hue lamp in the kitchen .,"philipshue(light, kitchen, None).writeProperty('power', 0);"
turn off hue lamp in the kitchen .,"philipshue(light, kitchen, None).writeProperty('power', 0);"
turn off power of hue lamp in the kitchen .,"philipshue(light, kitchen, None).writeProperty('power', 0);"
turn power off of hue lamp in the kitchen .,"philipshue(light, kitchen, None).writeProperty('power', 0);"
set power off hue lamp in the kitchen .,"philipshue(light, kitchen, None).writeProperty('power', 0);"
hue lamp in the kitchen power off .,"philipshue(light, kitchen, None).writeProperty('power', 0);"
switch on Philips hue owned by Zhou .,"philipshue(light, None, Zhou).writeProperty('power', 1);"
switch Philips hue owned by Zhou to on state .,"philipshue(light, None, Zhou).writeProperty('power', 1);"
switch on power of Philips hue owned by Zhou .,"philipshue(light, None, Zhou).writeProperty('power', 1);"
turn on Philips hue owned by Zhou .,"philipshue(light, None, Zhou).writeProperty('power', 1);"
turn on power of Philips hue owned by Zhou .,"philipshue(light, None, Zhou).writeProperty('power', 1);"
turn power on of Philips hue owned by Zhou .,"philipshue(light, None, Zhou).writeProperty('power', 1);"
set power on Philips hue owned by Zhou .,"philipshue(light, None, Zhou).writeProperty('power', 1);"
Philips hue owned by Zhou power on .,"philipshue(light, None, Zhou).writeProperty('power', 1);"
activate Philips hue owned by Zhou .,"philipshue(light, None, Zhou).writeProperty('power', on);"
deactivate Philips hue owned by Zhou .,"philipshue(light, None, Zhou).writeProperty('power', off);"
power up Philips hue owned by Zhou .,"philipshue(light, None, Zhou).writeProperty('power', on);"
power down Philips hue owned by Zhou .,"philipshue(light, None, Zhou).writeProperty('power', off);"
switch off Philips hue owned by Zhou .,"philipshue(light, None, Zhou).writeProperty('power', 0);"
switch Philips hue owned by Zhou to off state .,"philipshue(light, None, Zhou).writeProperty('power', 0);"
switch off power of Philips hue owned by Zhou .,"philipshue(light, None, Zhou).writeProperty('power', 0);"
turn off Philips hue owned by Zhou .,"philipshue(light, None, Zhou).writeProperty('power', 0);"
turn off power of Philips hue owned by Zhou .,"philipshue(light, None, Zhou).writeProperty('power', 0);"
turn power off of Philips hue owned by Zhou .,"philipshue(light, None, Zhou).writeProperty('power', 0);"
set power off Philips hue owned by Zhou .,"philipshue(light, None, Zhou).writeProperty('power', 0);"
Philips hue owned by Zhou power off .,"philipshue(light, None, Zhou).writeProperty('power', 0);"
switch on Philips hue from Michael .,"philipshue(light, None, Michael).writeProperty('power', 1);"
switch Philips hue from Michael to on state .,"philipshue(light, None, Michael).writeProperty('power', 1);"
switch on power of Philips hue from Michael .,"philipshue(light, None, Michael).writeProperty('power', 1);"
turn on Philips hue from Michael .,"philipshue(light, None, Michael).writeProperty('power', 1);"
turn on power of Philips hue from Michael .,"philipshue(light, None, Michael).writeProperty('power', 1);"
turn power on of Philips hue from Michael .,"philipshue(light, None, Michael).writeProperty('power', 1);"
set power on Philips hue from Michael .,"philipshue(light, None, Michael).writeProperty('power', 1);"
Philips hue from Michael power on .,"philipshue(light, None, Michael).writeProperty('power', 1);"
activate Philips hue from Michael .,"philipshue(light, None, Michael).writeProperty('power', on);"
deactivate Philips hue from Michael .,"philipshue(light, None, Michael).writeProperty('power', off);"
power up Philips hue from Michael .,"philipshue(light, None, Michael).writeProperty('power', on);"
power down Philips hue from Michael .,"philipshue(light, None, Michael).writeProperty('power', off);"
switch off Philips hue from Michael .,"philipshue(light, None, Michael).writeProperty('power', 0);"
switch Philips hue from Michael to off state .,"philipshue(light, None, Michael).writeProperty('power', 0);"
switch off power of Philips hue from Michael .,"philipshue(light, None, Michael).writeProperty('power', 0);"
turn off Philips hue from Michael .,"philipshue(light, None, Michael).writeProperty('power', 0);"
turn off power of Philips hue from Michael .,"philipshue(light, None, Michael).writeProperty('power', 0);"
turn power off of Philips hue from Michael .,"philipshue(light, None, Michael).writeProperty('power', 0);"
set power off Philips hue from Michael .,"philipshue(light, None, Michael).writeProperty('power', 0);"
Philips hue from Michael power off .,"philipshue(light, None, Michael).writeProperty('power', 0);"
switch on Daniel's Philips hue .,"philipshue(light, None, Daniel).writeProperty('power', 1);"
switch Daniel's Philips hue to on state .,"philipshue(light, None, Daniel).writeProperty('power', 1);"
switch on power of Daniel's Philips hue .,"philipshue(light, None, Daniel).writeProperty('power', 1);"
turn on Daniel's Philips hue .,"philipshue(light, None, Daniel).writeProperty('power', 1);"
turn on power of Daniel's Philips hue .,"philipshue(light, None, Daniel).writeProperty('power', 1);"
turn power on of Daniel's Philips hue .,"philipshue(light, None, Daniel).writeProperty('power', 1);"
set power on Daniel's Philips hue .,"philipshue(light, None, Daniel).writeProperty('power', 1);"
Daniel's Philips hue power on .,"philipshue(light, None, Daniel).writeProperty('power', 1);"
activate Daniel's Philips hue .,"philipshue(light, None, Daniel).writeProperty('power', on);"
deactivate Daniel's Philips hue .,"philipshue(light, None, Daniel).writeProperty('power', off);"
power up Daniel's Philips hue .,"philipshue(light, None, Daniel).writeProperty('power', on);"
power down Daniel's Philips hue .,"philipshue(light, None, Daniel).writeProperty('power', off);"
switch off Daniel's Philips hue .,"philipshue(light, None, Daniel).writeProperty('power', 0);"
switch Daniel's Philips hue to off state .,"philipshue(light, None, Daniel).writeProperty('power', 0);"
switch off power of Daniel's Philips hue .,"philipshue(light, None, Daniel).writeProperty('power', 0);"
turn off Daniel's Philips hue .,"philipshue(light, None, Daniel).writeProperty('power', 0);"
turn off power of Daniel's Philips hue .,"philipshue(light, None, Daniel).writeProperty('power', 0);"
turn power off of Daniel's Philips hue .,"philipshue(light, None, Daniel).writeProperty('power', 0);"
set power off Daniel's Philips hue .,"philipshue(light, None, Daniel).writeProperty('power', 0);"
Daniel's Philips hue power off .,"philipshue(light, None, Daniel).writeProperty('power', 0);"
switch Philips hue lamp in room 4.443 color to white .,"philipshue(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
switch color of Philips hue lamp in room 4.443 to white .,"philipshue(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
set Philips hue lamp in room 4.443 color to white .,"philipshue(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
set color of Philips hue lamp in room 4.443 to white .,"philipshue(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
update Philips hue lamp in room 4.443 color to white .,"philipshue(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
adjust color of Philips hue lamp in room 4.443 to white .,"philipshue(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
modify Philips hue lamp in room 4.443 color to white .,"philipshue(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255})"
convert color of Philips hue lamp in room 4.443 to white .,"philipshue(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
change Philips hue lamp in room 4.443 color to white .,"philipshue(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
make color of Philips hue lamp in room 4.443 to white .,"philipshue(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
I want white color on Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
I want Philips hue lamp in room 4.443 color be white .,"philipshue(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
switch Philips hue lamp in room 4.443 color to silver .,"philipshue(light, 4.443, None).writeProperty('color', {red:192, green:192, blue:192});"
switch color of Philips hue lamp in room 4.443 to silver .,"philipshue(light, 4.443, None).writeProperty('color', {red:192, green:192, blue:192});"
set Philips hue lamp in room 4.443 color to silver .,"philipshue(light, 4.443, None).writeProperty('color', {red:192, green:192, blue:192});"
set color of Philips hue lamp in room 4.443 to silver .,"philipshue(light, 4.443, None).writeProperty('color', {red:192, green:192, blue:192});"
update Philips hue lamp in room 4.443 color to silver .,"philipshue(light, 4.443, None).writeProperty('color', {red:192, green:192, blue:192});"
adjust color of Philips hue lamp in room 4.443 to silver .,"philipshue(light, 4.443, None).writeProperty('color', {red:192, green:192, blue:192});"
modify Philips hue lamp in room 4.443 color to silver .,"philipshue(light, 4.443, None).writeProperty('color', {red:192, green:192, blue:192})"
convert color of Philips hue lamp in room 4.443 to silver .,"philipshue(light, 4.443, None).writeProperty('color', {red:192, green:192, blue:192});"
change Philips hue lamp in room 4.443 color to silver .,"philipshue(light, 4.443, None).writeProperty('color', {red:192, green:192, blue:192});"
make color of Philips hue lamp in room 4.443 to silver .,"philipshue(light, 4.443, None).writeProperty('color', {red:192, green:192, blue:192});"
I want silver color on Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('color', {red:192, green:192, blue:192});"
I want Philips hue lamp in room 4.443 color be silver .,"philipshue(light, 4.443, None).writeProperty('color', {red:192, green:192, blue:192});"
switch Philips hue lamp in room 4.443 color to gray .,"philipshue(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:128});"
switch color of Philips hue lamp in room 4.443 to gray .,"philipshue(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:128});"
set Philips hue lamp in room 4.443 color to gray .,"philipshue(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:128});"
set color of Philips hue lamp in room 4.443 to gray .,"philipshue(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:128});"
update Philips hue lamp in room 4.443 color to gray .,"philipshue(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:128});"
adjust color of Philips hue lamp in room 4.443 to gray .,"philipshue(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:128});"
modify Philips hue lamp in room 4.443 color to gray .,"philipshue(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:128})"
convert color of Philips hue lamp in room 4.443 to gray .,"philipshue(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:128});"
change Philips hue lamp in room 4.443 color to gray .,"philipshue(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:128});"
make color of Philips hue lamp in room 4.443 to gray .,"philipshue(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:128});"
I want gray color on Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:128});"
I want Philips hue lamp in room 4.443 color be gray .,"philipshue(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:128});"
switch Philips hue lamp in room 4.443 color to black .,"philipshue(light, 4.443, None).writeProperty('color', {red:0, green:0, blue:0});"
switch color of Philips hue lamp in room 4.443 to black .,"philipshue(light, 4.443, None).writeProperty('color', {red:0, green:0, blue:0});"
set Philips hue lamp in room 4.443 color to black .,"philipshue(light, 4.443, None).writeProperty('color', {red:0, green:0, blue:0});"
set color of Philips hue lamp in room 4.443 to black .,"philipshue(light, 4.443, None).writeProperty('color', {red:0, green:0, blue:0});"
update Philips hue lamp in room 4.443 color to black .,"philipshue(light, 4.443, None).writeProperty('color', {red:0, green:0, blue:0});"
adjust color of Philips hue lamp in room 4.443 to black .,"philipshue(light, 4.443, None).writeProperty('color', {red:0, green:0, blue:0});"
modify Philips hue lamp in room 4.443 color to black .,"philipshue(light, 4.443, None).writeProperty('color', {red:0, green:0, blue:0})"
convert color of Philips hue lamp in room 4.443 to black .,"philipshue(light, 4.443, None).writeProperty('color', {red:0, green:0, blue:0});"
change Philips hue lamp in room 4.443 color to black .,"philipshue(light, 4.443, None).writeProperty('color', {red:0, green:0, blue:0});"
make color of Philips hue lamp in room 4.443 to black .,"philipshue(light, 4.443, None).writeProperty('color', {red:0, green:0, blue:0});"
I want black color on Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('color', {red:0, green:0, blue:0});"
I want Philips hue lamp in room 4.443 color be black .,"philipshue(light, 4.443, None).writeProperty('color', {red:0, green:0, blue:0});"
switch Philips hue lamp in room 4.443 color to red .,"philipshue(light, 4.443, None).writeProperty('color', {red:255, green:0, blue:0});"
switch color of Philips hue lamp in room 4.443 to red .,"philipshue(light, 4.443, None).writeProperty('color', {red:255, green:0, blue:0});"
set Philips hue lamp in room 4.443 color to red .,"philipshue(light, 4.443, None).writeProperty('color', {red:255, green:0, blue:0});"
set color of Philips hue lamp in room 4.443 to red .,"philipshue(light, 4.443, None).writeProperty('color', {red:255, green:0, blue:0});"
update Philips hue lamp in room 4.443 color to red .,"philipshue(light, 4.443, None).writeProperty('color', {red:255, green:0, blue:0});"
adjust color of Philips hue lamp in room 4.443 to red .,"philipshue(light, 4.443, None).writeProperty('color', {red:255, green:0, blue:0});"
modify Philips hue lamp in room 4.443 color to red .,"philipshue(light, 4.443, None).writeProperty('color', {red:255, green:0, blue:0})"
convert color of Philips hue lamp in room 4.443 to red .,"philipshue(light, 4.443, None).writeProperty('color', {red:255, green:0, blue:0});"
change Philips hue lamp in room 4.443 color to red .,"philipshue(light, 4.443, None).writeProperty('color', {red:255, green:0, blue:0});"
make color of Philips hue lamp in room 4.443 to red .,"philipshue(light, 4.443, None).writeProperty('color', {red:255, green:0, blue:0});"
I want red color on Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('color', {red:255, green:0, blue:0});"
I want Philips hue lamp in room 4.443 color be red .,"philipshue(light, 4.443, None).writeProperty('color', {red:255, green:0, blue:0});"
switch Philips hue lamp in room 4.443 color to maroon .,"philipshue(light, 4.443, None).writeProperty('color', {red:128, green:0, blue:0});"
switch color of Philips hue lamp in room 4.443 to maroon .,"philipshue(light, 4.443, None).writeProperty('color', {red:128, green:0, blue:0});"
set Philips hue lamp in room 4.443 color to maroon .,"philipshue(light, 4.443, None).writeProperty('color', {red:128, green:0, blue:0});"
set color of Philips hue lamp in room 4.443 to maroon .,"philipshue(light, 4.443, None).writeProperty('color', {red:128, green:0, blue:0});"
update Philips hue lamp in room 4.443 color to maroon .,"philipshue(light, 4.443, None).writeProperty('color', {red:128, green:0, blue:0});"
adjust color of Philips hue lamp in room 4.443 to maroon .,"philipshue(light, 4.443, None).writeProperty('color', {red:128, green:0, blue:0});"
modify Philips hue lamp in room 4.443 color to maroon .,"philipshue(light, 4.443, None).writeProperty('color', {red:128, green:0, blue:0})"
convert color of Philips hue lamp in room 4.443 to maroon .,"philipshue(light, 4.443, None).writeProperty('color', {red:128, green:0, blue:0});"
change Philips hue lamp in room 4.443 color to maroon .,"philipshue(light, 4.443, None).writeProperty('color', {red:128, green:0, blue:0});"
make color of Philips hue lamp in room 4.443 to maroon .,"philipshue(light, 4.443, None).writeProperty('color', {red:128, green:0, blue:0});"
I want maroon color on Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('color', {red:128, green:0, blue:0});"
I want Philips hue lamp in room 4.443 color be maroon .,"philipshue(light, 4.443, None).writeProperty('color', {red:128, green:0, blue:0});"
switch Philips hue lamp in room 4.443 color to yellow .,"philipshue(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:0});"
switch color of Philips hue lamp in room 4.443 to yellow .,"philipshue(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:0});"
set Philips hue lamp in room 4.443 color to yellow .,"philipshue(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:0});"
set color of Philips hue lamp in room 4.443 to yellow .,"philipshue(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:0});"
update Philips hue lamp in room 4.443 color to yellow .,"philipshue(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:0});"
adjust color of Philips hue lamp in room 4.443 to yellow .,"philipshue(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:0});"
modify Philips hue lamp in room 4.443 color to yellow .,"philipshue(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:0})"
convert color of Philips hue lamp in room 4.443 to yellow .,"philipshue(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:0});"
change Philips hue lamp in room 4.443 color to yellow .,"philipshue(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:0});"
make color of Philips hue lamp in room 4.443 to yellow .,"philipshue(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:0});"
I want yellow color on Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:0});"
I want Philips hue lamp in room 4.443 color be yellow .,"philipshue(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:0});"
switch Philips hue lamp in room 4.443 color to olive .,"philipshue(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:0});"
switch color of Philips hue lamp in room 4.443 to olive .,"philipshue(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:0});"
set Philips hue lamp in room 4.443 color to olive .,"philipshue(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:0});"
set color of Philips hue lamp in room 4.443 to olive .,"philipshue(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:0});"
update Philips hue lamp in room 4.443 color to olive .,"philipshue(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:0});"
adjust color of Philips hue lamp in room 4.443 to olive .,"philipshue(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:0});"
modify Philips hue lamp in room 4.443 color to olive .,"philipshue(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:0})"
convert color of Philips hue lamp in room 4.443 to olive .,"philipshue(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:0});"
change Philips hue lamp in room 4.443 color to olive .,"philipshue(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:0});"
make color of Philips hue lamp in room 4.443 to olive .,"philipshue(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:0});"
I want olive color on Philips hue lamp in room 4.443 .,"philipshue(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:0});"
I want Philips hue lamp in room 4.443 color be olive .,"philipshue(light, 4.443, None).writeProperty('color', {red:128, green:128, blue:0});"
switch Philips hue lamp in room 4.443 color to lime .,"philipshue(light, 4.443, None).writeProperty('color', {red:0, green:255, blue:0});"
switch color of Philips hue lamp in room 4.443 to lime .,"philipshue(light, 4.443, None).writeProperty('color', {red:0, green:255, blue:0});"
set Philips hue lamp in room 4.443 color to lime .,"philipshue(light, 4.443, None).writeProperty('color', {red:0, green:255, blue:0});"
set color of Philips hue lamp in room 4.443 to lime .,"philipshue(light, 4.443, None).writeProperty('color', {red:0, green:255, blue:0});"
update Philips hue lamp in room 4.443 color to lime .,"philipshue(light, 4.443, None).writeProperty('color', {red:0, green:255, blue:0});"
