phrase,code
what is the current air pressure measured by ruuvitag ?,ruuvitag.readProperty('pressure');
what is the air pressure value in ruuvitag right now ?,ruuvitag.readProperty('pressure');
how is the air pressure value according to ruuvitag ?,ruuvitag.readProperty('pressure');
what is air pressure value the ruuvitag showing ?,ruuvitag.readProperty('pressure');
check the air pressure measurement in ruuvitag .,ruuvitag.readProperty('pressure');
check ruuvitag air pressure value .,ruuvitag.readProperty('pressure');
show me the air pressure intensity level according to ruuvitag .,ruuvitag.readProperty('pressure');
show the air pressure value based on ruuvitag .,ruuvitag.readProperty('pressure');
read the air pressure measurement in ruuvitag .,ruuvitag.readProperty('pressure');
tell me the air pressure measurement of ruuvitag .,ruuvitag.readProperty('pressure');
I want to know the air pressure of ruuvitag .,ruuvitag.readProperty('pressure');
give me the air pressure reading from ruuvitag .,ruuvitag.readProperty('pressure');
what is the current acceleration measured by ruuvitag ?,ruuvitag.readProperty('acceleration');
what is the acceleration value in ruuvitag right now ?,ruuvitag.readProperty('acceleration');
how is the acceleration value according to ruuvitag ?,ruuvitag.readProperty('acceleration');
what is acceleration value the ruuvitag showing ?,ruuvitag.readProperty('acceleration');
check the acceleration measurement in ruuvitag .,ruuvitag.readProperty('acceleration');
check ruuvitag acceleration value .,ruuvitag.readProperty('acceleration');
show me the acceleration intensity level according to ruuvitag .,ruuvitag.readProperty('acceleration');
show the acceleration value based on ruuvitag .,ruuvitag.readProperty('acceleration');
read the acceleration measurement in ruuvitag .,ruuvitag.readProperty('acceleration');
tell me the acceleration measurement of ruuvitag .,ruuvitag.readProperty('acceleration');
I want to know the acceleration of ruuvitag .,ruuvitag.readProperty('acceleration');
give me the acceleration reading from ruuvitag .,ruuvitag.readProperty('acceleration');
what is the current battery measured by ruuvitag ?,ruuvitag.readProperty('battery');
what is the battery value in ruuvitag right now ?,ruuvitag.readProperty('battery');
how is the battery value according to ruuvitag ?,ruuvitag.readProperty('battery');
what is battery value the ruuvitag showing ?,ruuvitag.readProperty('battery');
check the battery measurement in ruuvitag .,ruuvitag.readProperty('battery');
check ruuvitag battery value .,ruuvitag.readProperty('battery');
show me the battery intensity level according to ruuvitag .,ruuvitag.readProperty('battery');
show the battery value based on ruuvitag .,ruuvitag.readProperty('battery');
read the battery measurement in ruuvitag .,ruuvitag.readProperty('battery');
tell me the battery measurement of ruuvitag .,ruuvitag.readProperty('battery');
I want to know the battery of ruuvitag .,ruuvitag.readProperty('battery');
give me the battery reading from ruuvitag .,ruuvitag.readProperty('battery');
what is the current txpower measured by ruuvitag ?,ruuvitag.readProperty('txpower');
what is the txpower value in ruuvitag right now ?,ruuvitag.readProperty('txpower');
how is the txpower value according to ruuvitag ?,ruuvitag.readProperty('txpower');
what is txpower value the ruuvitag showing ?,ruuvitag.readProperty('txpower');
check the txpower measurement in ruuvitag .,ruuvitag.readProperty('txpower');
check ruuvitag txpower value .,ruuvitag.readProperty('txpower');
show me the txpower intensity level according to ruuvitag .,ruuvitag.readProperty('txpower');
show the txpower value based on ruuvitag .,ruuvitag.readProperty('txpower');
read the txpower measurement in ruuvitag .,ruuvitag.readProperty('txpower');
tell me the txpower measurement of ruuvitag .,ruuvitag.readProperty('txpower');
I want to know the txpower of ruuvitag .,ruuvitag.readProperty('txpower');
give me the txpower reading from ruuvitag .,ruuvitag.readProperty('txpower');
what is the current movement counter measured by ruuvitag ?,ruuvitag.readProperty('movement_counter');
what is the movement counter value in ruuvitag right now ?,ruuvitag.readProperty('movement_counter');
how is the movement counter value according to ruuvitag ?,ruuvitag.readProperty('movement_counter');
what is movement counter value the ruuvitag showing ?,ruuvitag.readProperty('movement_counter');
check the movement counter measurement in ruuvitag .,ruuvitag.readProperty('movement_counter');
check ruuvitag movement counter value .,ruuvitag.readProperty('movement_counter');
show me the movement counter intensity level according to ruuvitag .,ruuvitag.readProperty('movement_counter');
show the movement counter value based on ruuvitag .,ruuvitag.readProperty('movement_counter');
read the movement counter measurement in ruuvitag .,ruuvitag.readProperty('movement_counter');
tell me the movement counter measurement of ruuvitag .,ruuvitag.readProperty('movement_counter');
I want to know the movement counter of ruuvitag .,ruuvitag.readProperty('movement_counter');
give me the movement counter reading from ruuvitag .,ruuvitag.readProperty('movement_counter');
what is the current measurement sequence number measured by ruuvitag ?,ruuvitag.readProperty('measurement_sequence_number');
what is the measurement sequence number value in ruuvitag right now ?,ruuvitag.readProperty('measurement_sequence_number');
how is the measurement sequence number value according to ruuvitag ?,ruuvitag.readProperty('measurement_sequence_number');
what is measurement sequence number value the ruuvitag showing ?,ruuvitag.readProperty('measurement_sequence_number');
check the measurement sequence number measurement in ruuvitag .,ruuvitag.readProperty('measurement_sequence_number');
check ruuvitag measurement sequence number value .,ruuvitag.readProperty('measurement_sequence_number');
show me the measurement sequence number intensity level according to ruuvitag .,ruuvitag.readProperty('measurement_sequence_number');
show the measurement sequence number value based on ruuvitag .,ruuvitag.readProperty('measurement_sequence_number');
read the measurement sequence number measurement in ruuvitag .,ruuvitag.readProperty('measurement_sequence_number');
tell me the measurement sequence number measurement of ruuvitag .,ruuvitag.readProperty('measurement_sequence_number');
I want to know the measurement sequence number of ruuvitag .,ruuvitag.readProperty('measurement_sequence_number');
give me the measurement sequence number reading from ruuvitag .,ruuvitag.readProperty('measurement_sequence_number');
