phrase,code
what is the current acceleration measured by joycon in room 4.443 ?,"joycon(controller, 4.443, None).readProperty('accelerometer');"
what is the acceleration value in joycon in room 4.443 right now ?,"joycon(controller, 4.443, None).readProperty('accelerometer');"
how is the acceleration value according to joycon in room 4.443 ?,"joycon(controller, 4.443, None).readProperty('accelerometer');"
what is acceleration value the joycon in room 4.443 showing ?,"joycon(controller, 4.443, None).readProperty('accelerometer');"
check the acceleration measurement in joycon in room 4.443 .,"joycon(controller, 4.443, None).readProperty('accelerometer');"
check joycon in room 4.443 acceleration value .,"joycon(controller, 4.443, None).readProperty('accelerometer');"
show me the acceleration intensity level according to joycon in room 4.443 .,"joycon(controller, 4.443, None).readProperty('accelerometer');"
show the acceleration value based on joycon in room 4.443 .,"joycon(controller, 4.443, None).readProperty('accelerometer');"
read the acceleration measurement in joycon in room 4.443 .,"joycon(controller, 4.443, None).readProperty('accelerometer');"
tell me the acceleration measurement of joycon in room 4.443 .,"joycon(controller, 4.443, None).readProperty('accelerometer');"
I want to know the acceleration of joycon in room 4.443 .,"joycon(controller, 4.443, None).readProperty('accelerometer');"
give me the acceleration reading from joycon in room 4.443 .,"joycon(controller, 4.443, None).readProperty('accelerometer');"
what is the current actual accelerometer measured by joycon in room 4.443 ?,"joycon(controller, 4.443, None).readProperty('actual_accelerometer');"
what is the actual accelerometer value in joycon in room 4.443 right now ?,"joycon(controller, 4.443, None).readProperty('actual_accelerometer');"
how is the actual accelerometer value according to joycon in room 4.443 ?,"joycon(controller, 4.443, None).readProperty('actual_accelerometer');"
what is actual accelerometer value the joycon in room 4.443 showing ?,"joycon(controller, 4.443, None).readProperty('actual_accelerometer');"
check the actual accelerometer measurement in joycon in room 4.443 .,"joycon(controller, 4.443, None).readProperty('actual_accelerometer');"
check joycon in room 4.443 actual accelerometer value .,"joycon(controller, 4.443, None).readProperty('actual_accelerometer');"
show me the actual accelerometer intensity level according to joycon in room 4.443 .,"joycon(controller, 4.443, None).readProperty('actual_accelerometer');"
show the actual accelerometer value based on joycon in room 4.443 .,"joycon(controller, 4.443, None).readProperty('actual_accelerometer');"
