phrase,code
what is the current advertised Tx power measured by eddystone in room 4.443 ?,"eddystone(sensor, 4.443, None).readProperty('advertised_tx_power');"
what is the advertised Tx power value in eddystone in room 4.443 right now ?,"eddystone(sensor, 4.443, None).readProperty('advertised_tx_power');"
how is the advertised Tx power value according to eddystone in room 4.443 ?,"eddystone(sensor, 4.443, None).readProperty('advertised_tx_power');"
what is advertised Tx power value the eddystone in room 4.443 showing ?,"eddystone(sensor, 4.443, None).readProperty('advertised_tx_power');"
check the advertised Tx power measurement in eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('advertised_tx_power');"
check eddystone in room 4.443 advertised Tx power value .,"eddystone(sensor, 4.443, None).readProperty('advertised_tx_power');"
show me the advertised Tx power intensity level according to eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('advertised_tx_power');"
show the advertised Tx power value based on eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('advertised_tx_power');"
read the advertised Tx power measurement in eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('advertised_tx_power');"
tell me the advertised Tx power measurement of eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('advertised_tx_power');"
I want to know the advertised Tx power of eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('advertised_tx_power');"
give me the advertised Tx power reading from eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('advertised_tx_power');"
what is the current advertisement data measured by eddystone in room 4.443 ?,"eddystone(sensor, 4.443, None).readProperty('advertisement_data');"
what is the advertisement data value in eddystone in room 4.443 right now ?,"eddystone(sensor, 4.443, None).readProperty('advertisement_data');"
how is the advertisement data value according to eddystone in room 4.443 ?,"eddystone(sensor, 4.443, None).readProperty('advertisement_data');"
what is advertisement data value the eddystone in room 4.443 showing ?,"eddystone(sensor, 4.443, None).readProperty('advertisement_data');"
check the advertisement data measurement in eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('advertisement_data');"
check eddystone in room 4.443 advertisement data value .,"eddystone(sensor, 4.443, None).readProperty('advertisement_data');"
show me the advertisement data intensity level according to eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('advertisement_data');"
show the advertisement data value based on eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('advertisement_data');"
read the advertisement data measurement in eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('advertisement_data');"
tell me the advertisement data measurement of eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('advertisement_data');"
I want to know the advertisement data of eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('advertisement_data');"
give me the advertisement data reading from eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('advertisement_data');"
what is the current advertising interval measured by eddystone in room 4.443 ?,"eddystone(sensor, 4.443, None).readProperty('advertising_interval');"
what is the advertising interval value in eddystone in room 4.443 right now ?,"eddystone(sensor, 4.443, None).readProperty('advertising_interval');"
how is the advertising interval value according to eddystone in room 4.443 ?,"eddystone(sensor, 4.443, None).readProperty('advertising_interval');"
what is advertising interval value the eddystone in room 4.443 showing ?,"eddystone(sensor, 4.443, None).readProperty('advertising_interval');"
check the advertising interval measurement in eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('advertising_interval');"
check eddystone in room 4.443 advertising interval value .,"eddystone(sensor, 4.443, None).readProperty('advertising_interval');"
show me the advertising interval intensity level according to eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('advertising_interval');"
show the advertising interval value based on eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('advertising_interval');"
read the advertising interval measurement in eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('advertising_interval');"
tell me the advertising interval measurement of eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('advertising_interval');"
I want to know the advertising interval of eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('advertising_interval');"
give me the advertising interval reading from eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('advertising_interval');"
what is the current lock state measured by eddystone in room 4.443 ?,"eddystone(sensor, 4.443, None).readProperty('lock_state');"
what is the lock state value in eddystone in room 4.443 right now ?,"eddystone(sensor, 4.443, None).readProperty('lock_state');"
how is the lock state value according to eddystone in room 4.443 ?,"eddystone(sensor, 4.443, None).readProperty('lock_state');"
what is lock state value the eddystone in room 4.443 showing ?,"eddystone(sensor, 4.443, None).readProperty('lock_state');"
check the lock state measurement in eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('lock_state');"
check eddystone in room 4.443 lock state value .,"eddystone(sensor, 4.443, None).readProperty('lock_state');"
show me the lock state intensity level according to eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('lock_state');"
show the lock state value based on eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('lock_state');"
read the lock state measurement in eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('lock_state');"
tell me the lock state measurement of eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('lock_state');"
I want to know the lock state of eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('lock_state');"
give me the lock state reading from eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('lock_state');"
what is the current public ECDH key measured by eddystone in room 4.443 ?,"eddystone(sensor, 4.443, None).readProperty('public_ECDH_key');"
what is the public ECDH key value in eddystone in room 4.443 right now ?,"eddystone(sensor, 4.443, None).readProperty('public_ECDH_key');"
how is the public ECDH key value according to eddystone in room 4.443 ?,"eddystone(sensor, 4.443, None).readProperty('public_ECDH_key');"
what is public ECDH key value the eddystone in room 4.443 showing ?,"eddystone(sensor, 4.443, None).readProperty('public_ECDH_key');"
check the public ECDH key measurement in eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('public_ECDH_key');"
check eddystone in room 4.443 public ECDH key value .,"eddystone(sensor, 4.443, None).readProperty('public_ECDH_key');"
show me the public ECDH key intensity level according to eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('public_ECDH_key');"
show the public ECDH key value based on eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('public_ECDH_key');"
read the public ECDH key measurement in eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('public_ECDH_key');"
tell me the public ECDH key measurement of eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('public_ECDH_key');"
I want to know the public ECDH key of eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('public_ECDH_key');"
give me the public ECDH key reading from eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('public_ECDH_key');"
what is the current radio tx power measured by eddystone in room 4.443 ?,"eddystone(sensor, 4.443, None).readProperty('radio_tx_power');"
what is the radio tx power value in eddystone in room 4.443 right now ?,"eddystone(sensor, 4.443, None).readProperty('radio_tx_power');"
how is the radio tx power value according to eddystone in room 4.443 ?,"eddystone(sensor, 4.443, None).readProperty('radio_tx_power');"
what is radio tx power value the eddystone in room 4.443 showing ?,"eddystone(sensor, 4.443, None).readProperty('radio_tx_power');"
check the radio tx power measurement in eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('radio_tx_power');"
check eddystone in room 4.443 radio tx power value .,"eddystone(sensor, 4.443, None).readProperty('radio_tx_power');"
show me the radio tx power intensity level according to eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('radio_tx_power');"
show the radio tx power value based on eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('radio_tx_power');"
read the radio tx power measurement in eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('radio_tx_power');"
tell me the radio tx power measurement of eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('radio_tx_power');"
I want to know the radio tx power of eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('radio_tx_power');"
give me the radio tx power reading from eddystone in room 4.443 .,"eddystone(sensor, 4.443, None).readProperty('radio_tx_power');"
