phrase,code
what is the current air pressure measured by ruuvitag in room 4.443 ?,"ruuvitag(sensor, 4.443, None).readProperty('pressure');"
what is the air pressure value in ruuvitag in room 4.443 right now ?,"ruuvitag(sensor, 4.443, None).readProperty('pressure');"
how is the air pressure value according to ruuvitag in room 4.443 ?,"ruuvitag(sensor, 4.443, None).readProperty('pressure');"
what is air pressure value the ruuvitag in room 4.443 showing ?,"ruuvitag(sensor, 4.443, None).readProperty('pressure');"
check the air pressure measurement in ruuvitag in room 4.443 .,"ruuvitag(sensor, 4.443, None).readProperty('pressure');"
check ruuvitag in room 4.443 air pressure value .,"ruuvitag(sensor, 4.443, None).readProperty('pressure');"
show me the air pressure intensity level according to ruuvitag in room 4.443 .,"ruuvitag(sensor, 4.443, None).readProperty('pressure');"
show the air pressure value based on ruuvitag in room 4.443 .,"ruuvitag(sensor, 4.443, None).readProperty('pressure');"
read the air pressure measurement in ruuvitag in room 4.443 .,"ruuvitag(sensor, 4.443, None).readProperty('pressure');"
tell me the air pressure measurement of ruuvitag in room 4.443 .,"ruuvitag(sensor, 4.443, None).readProperty('pressure');"
I want to know the air pressure of ruuvitag in room 4.443 .,"ruuvitag(sensor, 4.443, None).readProperty('pressure');"
give me the air pressure reading from ruuvitag in room 4.443 .,"ruuvitag(sensor, 4.443, None).readProperty('pressure');"
what is the current acceleration measured by ruuvitag in room 4.443 ?,"ruuvitag(sensor, 4.443, None).readProperty('acceleration');"
what is the acceleration value in ruuvitag in room 4.443 right now ?,"ruuvitag(sensor, 4.443, None).readProperty('acceleration');"
how is the acceleration value according to ruuvitag in room 4.443 ?,"ruuvitag(sensor, 4.443, None).readProperty('acceleration');"
what is acceleration value the ruuvitag in room 4.443 showing ?,"ruuvitag(sensor, 4.443, None).readProperty('acceleration');"
check the acceleration measurement in ruuvitag in room 4.443 .,"ruuvitag(sensor, 4.443, None).readProperty('acceleration');"
check ruuvitag in room 4.443 acceleration value .,"ruuvitag(sensor, 4.443, None).readProperty('acceleration');"
show me the acceleration intensity level according to ruuvitag in room 4.443 .,"ruuvitag(sensor, 4.443, None).readProperty('acceleration');"
show the acceleration value based on ruuvitag in room 4.443 .,"ruuvitag(sensor, 4.443, None).readProperty('acceleration');"
read the acceleration measurement in ruuvitag in room 4.443 .,"ruuvitag(sensor, 4.443, None).readProperty('acceleration');"
tell me the acceleration measurement of ruuvitag in room 4.443 .,"ruuvitag(sensor, 4.443, None).readProperty('acceleration');"
I want to know the acceleration of ruuvitag in room 4.443 .,"ruuvitag(sensor, 4.443, None).readProperty('acceleration');"
give me the acceleration reading from ruuvitag in room 4.443 .,"ruuvitag(sensor, 4.443, None).readProperty('acceleration');"
what is the current battery measured by ruuvitag in room 4.443 ?,"ruuvitag(sensor, 4.443, None).readProperty('battery');"
what is the battery value in ruuvitag in room 4.443 right now ?,"ruuvitag(sensor, 4.443, None).readProperty('battery');"
how is the battery value according to ruuvitag in room 4.443 ?,"ruuvitag(sensor, 4.443, None).readProperty('battery');"
what is battery value the ruuvitag in room 4.443 showing ?,"ruuvitag(sensor, 4.443, None).readProperty('battery');"
check the battery measurement in ruuvitag in room 4.443 .,"ruuvitag(sensor, 4.443, None).readProperty('battery');"
check ruuvitag in room 4.443 battery value .,"ruuvitag(sensor, 4.443, None).readProperty('battery');"
show me the battery intensity level according to ruuvitag in room 4.443 .,"ruuvitag(sensor, 4.443, None).readProperty('battery');"
show the battery value based on ruuvitag in room 4.443 .,"ruuvitag(sensor, 4.443, None).readProperty('battery');"
read the battery measurement in ruuvitag in room 4.443 .,"ruuvitag(sensor, 4.443, None).readProperty('battery');"
tell me the battery measurement of ruuvitag in room 4.443 .,"ruuvitag(sensor, 4.443, None).readProperty('battery');"
I want to know the battery of ruuvitag in room 4.443 .,"ruuvitag(sensor, 4.443, None).readProperty('battery');"
give me the battery reading from ruuvitag in room 4.443 .,"ruuvitag(sensor, 4.443, None).readProperty('battery');"
what is the current txpower measured by ruuvitag in room 4.443 ?,"ruuvitag(sensor, 4.443, None).readProperty('txpower');"
what is the txpower value in ruuvitag in room 4.443 right now ?,"ruuvitag(sensor, 4.443, None).readProperty('txpower');"
how is the txpower value according to ruuvitag in room 4.443 ?,"ruuvitag(sensor, 4.443, None).readProperty('txpower');"
what is txpower value the ruuvitag in room 4.443 showing ?,"ruuvitag(sensor, 4.443, None).readProperty('txpower');"
check the txpower measurement in ruuvitag in room 4.443 .,"ruuvitag(sensor, 4.443, None).readProperty('txpower');"
check ruuvitag in room 4.443 txpower value .,"ruuvitag(sensor, 4.443, None).readProperty('txpower');"
show me the txpower intensity level according to ruuvitag in room 4.443 .,"ruuvitag(sensor, 4.443, None).readProperty('txpower');"
show the txpower value based on ruuvitag in room 4.443 .,"ruuvitag(sensor, 4.443, None).readProperty('txpower');"
read the txpower measurement in ruuvitag in room 4.443 .,"ruuvitag(sensor, 4.443, None).readProperty('txpower');"
tell me the txpower measurement of ruuvitag in room 4.443 .,"ruuvitag(sensor, 4.443, None).readProperty('txpower');"
I want to know the txpower of ruuvitag in room 4.443 .,"ruuvitag(sensor, 4.443, None).readProperty('txpower');"
give me the txpower reading from ruuvitag in room 4.443 .,"ruuvitag(sensor, 4.443, None).readProperty('txpower');"
what is the current movement counter measured by ruuvitag in room 4.443 ?,"ruuvitag(sensor, 4.443, None).readProperty('movement_counter');"
what is the movement counter value in ruuvitag in room 4.443 right now ?,"ruuvitag(sensor, 4.443, None).readProperty('movement_counter');"
how is the movement counter value according to ruuvitag in room 4.443 ?,"ruuvitag(sensor, 4.443, None).readProperty('movement_counter');"
what is movement counter value the ruuvitag in room 4.443 showing ?,"ruuvitag(sensor, 4.443, None).readProperty('movement_counter');"
check the movement counter measurement in ruuvitag in room 4.443 .,"ruuvitag(sensor, 4.443, None).readProperty('movement_counter');"
check ruuvitag in room 4.443 movement counter value .,"ruuvitag(sensor, 4.443, None).readProperty('movement_counter');"
show me the movement counter intensity level according to ruuvitag in room 4.443 .,"ruuvitag(sensor, 4.443, None).readProperty('movement_counter');"
show the movement counter value based on ruuvitag in room 4.443 .,"ruuvitag(sensor, 4.443, None).readProperty('movement_counter');"
read the movement counter measurement in ruuvitag in room 4.443 .,"ruuvitag(sensor, 4.443, None).readProperty('movement_counter');"
tell me the movement counter measurement of ruuvitag in room 4.443 .,"ruuvitag(sensor, 4.443, None).readProperty('movement_counter');"
I want to know the movement counter of ruuvitag in room 4.443 .,"ruuvitag(sensor, 4.443, None).readProperty('movement_counter');"
give me the movement counter reading from ruuvitag in room 4.443 .,"ruuvitag(sensor, 4.443, None).readProperty('movement_counter');"
what is the current measurement sequence number measured by ruuvitag in room 4.443 ?,"ruuvitag(sensor, 4.443, None).readProperty('measurement_sequence_number');"
what is the measurement sequence number value in ruuvitag in room 4.443 right now ?,"ruuvitag(sensor, 4.443, None).readProperty('measurement_sequence_number');"
how is the measurement sequence number value according to ruuvitag in room 4.443 ?,"ruuvitag(sensor, 4.443, None).readProperty('measurement_sequence_number');"
what is measurement sequence number value the ruuvitag in room 4.443 showing ?,"ruuvitag(sensor, 4.443, None).readProperty('measurement_sequence_number');"
check the measurement sequence number measurement in ruuvitag in room 4.443 .,"ruuvitag(sensor, 4.443, None).readProperty('measurement_sequence_number');"
check ruuvitag in room 4.443 measurement sequence number value .,"ruuvitag(sensor, 4.443, None).readProperty('measurement_sequence_number');"
